1.658985	4.285136    1
-3.453687	3.424321    1
4.838138	-1.151539   1
-5.379713	-3.362104   1
0.972564	2.924086    1
-3.567919	1.531611    1
0.450614	-3.302219   1
-3.487105	-1.724432   1
2.668759	1.594842    1
-3.156485	3.191137    1
3.165506	-3.999838   1
-2.786837	-3.099354   1
4.208187	2.984927    1
-2.123337	2.943366    1
0.704199	-0.479481   1
-0.392370	-3.963704   1
2.831667	1.574018    1
-0.790153	3.343144    1
2.943496	-3.357075   1
-3.195883	-2.283926   1
2.336445	2.875106    1
-1.786345	2.554248    1
2.190101	-1.906020   1
-3.403367	-2.778288   1
1.778124	3.880832    1
-1.688346	2.230267    1
2.592976	-2.054368   1
-4.007257	-3.207066   1
2.257734	3.387564    1
-2.679011	0.785119    1
0.939512	-4.023563   1
-3.674424	-2.261084   1
2.046259	2.735279    1
-3.189470	1.780269    1
4.372646	-0.822248   1
-2.579316	-3.497576   1
1.889034	5.190400    1
-0.798747	2.185588    1
2.836520	-2.658556   1
-3.837877	-3.253815   1
2.096701	3.886007    1
-2.709034	2.923887    1
3.367037	-3.184789   1
-2.121479	-4.232586   1
2.329546	3.179764    1
-3.284816	3.273099    1
3.091414	-3.815232   1
-3.762093	-2.432191   1
3.542056	2.778832    1
-1.736822	4.241041    1
2.127073	-2.983680   1
-4.323818	-3.938116   0
3.792121	5.135768    0
-4.786473	3.358547    0
2.624081	-3.260715   0
-4.009299	-2.978115   0
2.493525	1.963710    0
-2.513661	2.642162    0
1.864375	-3.176309   0
-3.171184	-3.572452   0
2.894220	2.489128    0
-2.562539	2.884438    0
3.491078	-3.947487   0
-2.565729	-2.01211    0
3.332948	3.983102    0
-1.616805	3.573188    0
2.280615	-2.559444   0
-2.651229	-3.103198   0
2.321395	3.154987    0
-1.685703	2.939697    0
3.031012	-3.620252   0
-4.599622	-2.185829   0
4.196223	1.126677    0
-2.133863	3.093686    0
4.668892	-2.562705   0
-2.793241	-2.149706   0
2.884105	3.043438    0
-2.967647	2.848696    0
4.479332	-1.764772   0
-4.905566	-2.911070   0
